자치구,year,표본수,비만율,평균BMI,평균걷기일수,평균수면,평균아침식사,흡연율
강남구,2019,305,23.93,22.630622950819674,5.219672131147541,6.665573770491803,2.6918032786885244,0.16721311475409836
강남구,2020,310,25.48,22.666451612903227,4.458064516129032,6.774193548387097,2.729032258064516,0.14193548387096774
강남구,2021,300,21.67,22.236933333333333,4.55,6.666666666666667,2.6333333333333333,0.08333333333333333
강남구,2022,284,24.3,22.780915492957746,5.471830985915493,6.697183098591549,2.7253521126760565,0.13380281690140844
강남구,2023,256,25.0,22.8050390625,5.46484375,7.0,2.8046875,0.1328125
강남구,2024,258,22.87,22.580000000000002,5.686046511627907,6.887596899224806,2.75968992248062,0.11627906976744186
강남구,2025,289,23.53,22.848442906574395,5.660899653979238,6.688581314878893,2.7750865051903113,0.08304498269896193
강동구,2019,290,24.48,23.054344827586206,5.551724137931035,6.6689655172413795,2.7724137931034485,0.16206896551724137
강동구,2020,278,30.22,23.4568345323741,4.428057553956834,6.676258992805756,2.7985611510791366,0.12949640287769784
강동구,2021,314,28.03,23.159649681528663,4.853503184713376,6.694267515923567,2.429936305732484,0.12101910828025478
강동구,2022,247,29.15,23.37417004048583,5.194331983805668,6.757085020242915,2.6963562753036436,0.11740890688259109
강동구,2023,248,31.05,23.102137096774193,5.620967741935484,7.0,2.838709677419355,0.14112903225806453
강동구,2024,264,28.03,23.397727272727273,5.458333333333333,6.708333333333333,2.5303030303030303,0.0946969696969697
강동구,2025,243,28.81,23.31222222222222,5.68724279835391,6.54320987654321,2.60082304526749,0.0823045267489712
강북구,2019,194,23.2,22.755103092783504,5.11340206185567,6.597938144329897,2.6443298969072164,0.17525773195876287
강북구,2020,220,29.09,23.604090909090907,4.572727272727272,6.8,2.5090909090909093,0.15454545454545454
강북구,2021,247,28.74,23.19493927125506,5.238866396761134,6.955465587044534,2.6558704453441297,0.10121457489878542
강북구,2022,228,28.95,23.556184210526318,5.425438596491228,6.644736842105263,3.0,0.18859649122807018
강북구,2023,213,31.92,23.617652582159625,5.384976525821596,7.0,2.784037558685446,0.18309859154929578
강북구,2024,200,34.0,23.87875,4.99,6.65,2.8,0.17
강북구,2025,191,35.08,24.02670157068063,5.104712041884817,6.528795811518324,2.643979057591623,0.2094240837696335
강서구,2019,284,26.76,22.925845070422533,5.299295774647887,6.605633802816901,2.6690140845070425,0.15492957746478872
강서구,2020,265,33.58,23.681132075471698,4.384905660377359,6.849056603773585,2.9283018867924526,0.13962264150943396
강서구,2021,289,27.34,23.1359169550173,5.391003460207613,6.660899653979238,2.58477508650519,0.11072664359861592
강서구,2022,255,27.06,23.225843137254902,5.223529411764706,6.580392156862745,2.796078431372549,0.12549019607843137
강서구,2023,256,26.17,22.996796875,5.69921875,7.0,2.52734375,0.171875
강서구,2024,292,29.45,23.289075342465754,5.267123287671233,6.808219178082192,2.5924657534246576,0.14726027397260275
강서구,2025,301,22.92,22.83843853820598,5.627906976744186,6.707641196013289,2.521594684385382,0.10299003322259136
관악구,2019,305,27.21,22.913278688524592,5.560655737704918,6.685245901639345,2.681967213114754,0.16393442622950818
관악구,2020,360,26.39,23.053333333333335,5.055555555555555,6.761111111111111,2.761111111111111,0.1527777777777778
관악구,2021,326,26.07,22.97825153374233,4.785276073619632,6.677914110429448,2.8098159509202456,0.1441717791411043
관악구,2022,330,32.12,23.526,4.975757575757576,6.5,2.93030303030303,0.16363636363636364
관악구,2023,321,25.55,23.35588785046729,5.218068535825545,7.0,2.9065420560747666,0.17757009345794392
관악구,2024,293,35.84,23.947986348122868,5.419795221843003,6.587030716723549,2.802047781569966,0.12627986348122866
관악구,2025,275,28.0,23.57901818181818,5.741818181818182,6.487272727272727,2.9345454545454546,0.14909090909090908
광진구,2019,320,22.81,22.90678125,5.26875,6.46875,2.8375,0.18125
광진구,2020,343,19.83,22.516909620991253,4.580174927113703,6.839650145772595,2.7230320699708455,0.14868804664723032
광진구,2021,358,28.21,23.23022346368715,5.125698324022347,6.70391061452514,2.8240223463687153,0.1340782122905028
광진구,2022,262,24.81,22.985381679389313,5.324427480916031,6.538167938931298,2.7900763358778624,0.13358778625954199
광진구,2023,312,28.85,23.56458333333333,5.637820512820513,7.0,2.9711538461538463,0.14102564102564102
광진구,2024,282,32.98,23.640141843971634,5.659574468085107,6.602836879432624,2.8617021276595747,0.12411347517730496
광진구,2025,264,28.41,23.310757575757577,5.787878787878788,6.662878787878788,2.8295454545454546,0.125
구로구,2019,241,26.97,23.287510373443983,5.576763485477178,6.730290456431535,2.6348547717842323,0.14522821576763487
구로구,2020,249,26.1,23.186746987951807,4.309236947791165,6.859437751004016,2.6345381526104417,0.12449799196787148
구로구,2021,235,24.26,23.09531914893617,5.285106382978723,6.76595744680851,2.7787234042553193,0.08936170212765958
구로구,2022,276,30.43,23.419094202898552,5.753623188405797,6.630434782608695,2.989130434782609,0.11956521739130435
구로구,2023,266,31.95,23.540225563909775,5.015037593984962,7.0,2.8345864661654137,0.10902255639097744
구로구,2024,220,36.82,24.301681818181816,5.3545454545454545,6.454545454545454,2.8045454545454547,0.12727272727272726
구로구,2025,243,26.75,23.155349794238685,5.555555555555555,6.551440329218107,2.7160493827160495,0.13580246913580246
금천구,2019,273,30.4,23.352527472527473,5.527472527472527,6.604395604395604,2.706959706959707,0.16483516483516483
금천구,2020,260,26.15,23.236923076923077,4.803846153846154,6.711538461538462,2.873076923076923,0.19230769230769232
금천구,2021,268,31.34,23.88761194029851,4.41044776119403,6.757462686567164,2.701492537313433,0.15298507462686567
금천구,2022,232,35.34,23.85573275862069,4.853448275862069,6.625,2.8922413793103448,0.16379310344827586
금천구,2023,229,31.88,23.468078602620086,5.004366812227074,7.0,3.0,0.1703056768558952
금천구,2024,229,35.81,24.05013100436681,5.462882096069869,6.716157205240175,2.7554585152838427,0.18340611353711792
금천구,2025,174,29.89,23.44689655172414,5.183908045977011,6.896551724137931,2.735632183908046,0.09195402298850575
노원구,2019,208,32.69,23.599615384615387,5.048076923076923,6.697115384615385,2.7548076923076925,0.16826923076923078
노원구,2020,256,30.47,23.37734375,5.34375,6.81640625,2.55078125,0.08203125
노원구,2021,262,25.57,22.92706106870229,5.17175572519084,6.687022900763359,2.7061068702290076,0.10687022900763359
노원구,2022,236,27.54,23.21601694915254,5.512711864406779,6.614406779661017,2.7542372881355934,0.11016949152542373
노원구,2023,251,29.08,23.602470119521914,5.5458167330677295,7.0,2.960159362549801,0.11952191235059761
노원구,2024,248,29.44,23.37274193548387,5.923387096774194,6.629032258064516,2.903225806451613,0.11290322580645161
노원구,2025,227,27.31,23.57669603524229,5.215859030837004,6.616740088105727,2.8237885462555066,0.1013215859030837
도봉구,2019,223,33.18,23.82134529147982,5.062780269058296,6.780269058295964,2.5605381165919283,0.13901345291479822
도봉구,2020,250,39.2,24.268,4.62,6.936,2.732,0.192
도봉구,2021,213,30.99,23.33051643192488,4.708920187793427,6.830985915492958,2.671361502347418,0.10328638497652583
도봉구,2022,205,31.22,23.34692682926829,5.146341463414634,6.6048780487804875,2.7853658536585364,0.17560975609756097
도봉구,2023,187,27.27,23.367700534759358,5.267379679144385,7.0,2.807486631016043,0.13903743315508021
도봉구,2024,179,30.73,23.495083798882682,5.754189944134078,6.4748603351955305,2.653631284916201,0.1787709497206704
도봉구,2025,201,34.33,24.05691542288557,5.736318407960199,6.601990049751244,2.7860696517412937,0.1044776119402985
동대문구,2019,220,29.55,23.351409090909094,5.040909090909091,6.722727272727273,2.6136363636363638,0.18181818181818182
동대문구,2020,256,29.3,23.612890625,4.83203125,6.7421875,2.46484375,0.15234375
동대문구,2021,248,29.44,23.309435483870967,4.895161290322581,6.790322580645161,2.6169354838709675,0.16532258064516128
동대문구,2022,272,31.25,23.369154411764704,5.077205882352941,6.5661764705882355,2.588235294117647,0.08823529411764706
동대문구,2023,231,22.94,22.815584415584414,4.8311688311688314,7.0,2.632034632034632,0.12987012987012986
동대문구,2024,225,34.67,23.85102222222222,5.613333333333333,6.595555555555555,2.466666666666667,0.12
동대문구,2025,236,23.73,23.133813559322032,5.877118644067797,6.478813559322034,2.5635593220338984,0.13983050847457626
동작구,2019,294,23.81,22.89431972789116,6.142857142857143,6.540816326530612,2.493197278911565,0.15306122448979592
동작구,2020,325,27.69,23.03323076923077,4.781538461538462,6.92,2.729230769230769,0.11384615384615385
동작구,2021,292,26.03,23.10376712328767,4.431506849315069,6.773972602739726,2.856164383561644,0.10273972602739725
동작구,2022,265,35.09,23.989849056603774,5.166037735849057,6.471698113207547,2.852830188679245,0.14339622641509434
동작구,2023,279,20.79,22.760035842293906,6.086021505376344,7.0,2.7777777777777777,0.14695340501792115
동작구,2024,252,33.33,23.661626984126983,6.313492063492063,6.507936507936508,2.611111111111111,0.07539682539682539
동작구,2025,247,27.53,23.324210526315788,5.987854251012146,6.538461538461538,2.6356275303643724,0.08097165991902834
마포구,2019,309,23.62,23.042718446601942,5.744336569579288,6.669902912621359,2.679611650485437,0.13592233009708737
마포구,2020,301,24.58,22.810299003322257,4.990033222591362,6.737541528239203,2.6245847176079735,0.14285714285714285
마포구,2021,310,21.94,22.717225806451612,4.970967741935484,6.796774193548387,2.7225806451612904,0.1
마포구,2022,306,26.14,22.553267973856208,5.333333333333333,6.816993464052287,2.810457516339869,0.1568627450980392
마포구,2023,296,23.31,22.663817567567566,5.537162162162162,7.0,2.8716216216216215,0.12837837837837837
마포구,2024,313,35.46,23.975750798722043,5.619808306709265,6.619808306709265,2.840255591054313,0.13738019169329074
마포구,2025,269,24.16,22.912416356877323,5.5353159851301115,6.587360594795539,2.5650557620817844,0.13382899628252787
서대문구,2019,196,28.57,23.061938775510207,5.23469387755102,6.826530612244898,2.61734693877551,0.12244897959183673
서대문구,2020,292,23.97,23.05,5.154109589041096,6.678082191780822,2.6506849315068495,0.136986301369863
서대문구,2021,255,31.37,23.467372549019608,4.5019607843137255,6.63921568627451,2.6823529411764704,0.16862745098039217
서대문구,2022,277,26.71,23.194909747292417,5.162454873646209,6.689530685920578,2.7617328519855597,0.148014440433213
서대문구,2023,312,24.68,22.673044871794872,5.490384615384615,7.0,2.6346153846153846,0.10576923076923077
서대문구,2024,262,29.01,23.41797709923664,5.511450381679389,6.748091603053435,2.66412213740458,0.12595419847328243
서대문구,2025,262,27.1,23.51232824427481,5.66412213740458,6.583969465648855,2.564885496183206,0.13740458015267176
서초구,2019,261,19.92,22.096360153256704,5.164750957854406,6.647509578544061,2.363984674329502,0.10727969348659004
서초구,2020,278,22.66,22.53884892086331,4.690647482014389,6.816546762589928,2.5467625899280577,0.11870503597122302
서초구,2021,271,22.88,22.74350553505535,4.870848708487085,6.730627306273063,2.4797047970479706,0.11808118081180811
서초구,2022,280,25.36,22.77675,5.553571428571429,6.689285714285714,2.5821428571428573,0.13214285714285715
서초구,2023,239,25.94,22.89673640167364,5.343096234309623,7.0,2.7322175732217575,0.100418410041841
서초구,2024,253,19.37,22.210711462450593,5.640316205533597,6.8023715415019765,2.6956521739130435,0.10276679841897234
서초구,2025,226,18.58,22.475973451327434,5.570796460176991,6.68141592920354,2.8185840707964602,0.0752212389380531
성동구,2019,267,23.97,22.815393258426965,5.138576779026217,6.546816479400749,2.730337078651685,0.149812734082397
성동구,2020,347,24.21,22.76772334293948,4.933717579250721,6.772334293948127,2.792507204610951,0.138328530259366
성동구,2021,308,23.05,22.763636363636362,4.288961038961039,6.75,2.8344155844155843,0.1038961038961039
성동구,2022,261,24.14,22.974674329501916,5.149425287356322,6.555555555555555,3.0689655172413794,0.07279693486590039
성동구,2023,288,26.39,23.191111111111113,5.232638888888889,7.0,2.90625,0.12152777777777778
성동구,2024,271,25.09,23.040811808118082,5.22140221402214,6.760147601476015,2.6088560885608856,0.06642066420664207
성동구,2025,260,31.92,23.458153846153845,5.688461538461539,6.623076923076923,2.7384615384615385,0.08076923076923077
성북구,2019,234,23.08,22.82662393162393,4.944444444444445,6.722222222222222,2.5683760683760686,0.1282051282051282
성북구,2020,265,20.38,22.711320754716983,4.664150943396226,6.950943396226415,2.641509433962264,0.15849056603773584
성북구,2021,245,20.0,22.859142857142857,4.946938775510204,6.7877551020408164,2.742857142857143,0.12244897959183673
성북구,2022,256,32.81,23.6171484375,5.26171875,6.41796875,2.75,0.1484375
성북구,2023,233,24.46,23.001931330472104,5.437768240343348,7.0,2.9699570815450644,0.13304721030042918
성북구,2024,267,30.71,23.40921348314607,5.8277153558052435,6.629213483146067,2.9962546816479403,0.1797752808988764
성북구,2025,235,28.09,23.455489361702128,5.174468085106383,6.595744680851064,2.6340425531914895,0.15319148936170213
송파구,2019,288,27.43,23.30940972222222,5.666666666666667,6.777777777777778,2.6041666666666665,0.1111111111111111
송파구,2020,292,22.95,23.009246575342466,4.883561643835616,6.736301369863014,2.6815068493150687,0.136986301369863
송파구,2021,328,26.83,23.16704268292683,4.966463414634147,6.722560975609756,2.777439024390244,0.1402439024390244
송파구,2022,281,28.11,23.242526690391458,5.327402135231317,6.697508896797153,2.886120996441281,0.16725978647686832
송파구,2023,276,22.83,22.911884057971015,5.670289855072464,7.0,2.75,0.13043478260869565
송파구,2024,271,28.41,23.567416974169742,5.671586715867159,6.760147601476015,2.837638376383764,0.0996309963099631
송파구,2025,279,29.03,23.35741935483871,5.663082437275985,6.551971326164875,2.792114695340502,0.0931899641577061
양천구,2019,243,31.28,23.525720164609055,5.8353909465020575,6.761316872427984,2.6213991769547325,0.09876543209876543
양천구,2020,258,24.03,22.765503875968992,4.945736434108527,6.87984496124031,2.604651162790698,0.09302325581395349
양천구,2021,282,30.14,23.30209219858156,5.00709219858156,6.815602836879433,2.4361702127659575,0.18085106382978725
양천구,2022,291,32.65,23.55914089347079,5.965635738831615,6.625429553264605,2.7560137457044673,0.15463917525773196
양천구,2023,230,31.3,23.59995652173913,6.026086956521739,7.0,2.7304347826086954,0.1391304347826087
양천구,2024,240,30.0,23.370583333333332,6.008333333333334,6.691666666666666,2.575,0.09166666666666666
양천구,2025,227,33.04,23.595726872246694,5.872246696035242,6.5506607929515415,2.563876651982379,0.12334801762114538
영등포구,2019,259,32.43,23.52722007722008,5.7528957528957525,6.571428571428571,2.6023166023166024,0.14285714285714285
영등포구,2020,314,26.11,23.073248407643312,5.187898089171974,6.7006369426751595,2.6305732484076434,0.12420382165605096
영등포구,2021,287,25.44,22.982229965156794,4.620209059233449,6.7526132404181185,2.557491289198606,0.08013937282229965
영등포구,2022,312,29.17,23.291891025641025,5.403846153846154,6.544871794871795,2.8493589743589745,0.13782051282051283
영등포구,2023,250,21.6,22.804560000000002,5.172,7.0,2.696,0.132
영등포구,2024,282,25.89,23.143900709219857,5.9361702127659575,6.659574468085107,2.9290780141843973,0.11702127659574468
영등포구,2025,271,29.52,23.335239852398526,5.830258302583026,6.630996309963099,2.715867158671587,0.07011070110701106
용산구,2019,211,22.75,22.943033175355453,5.303317535545023,6.601895734597156,2.5781990521327014,0.13270142180094788
용산구,2020,221,22.17,23.079185520361992,5.3031674208144794,7.018099547511312,2.7194570135746607,0.15384615384615385
용산구,2021,246,22.76,22.770772357723576,4.788617886178862,6.760162601626016,2.6260162601626016,0.13821138211382114
용산구,2022,238,25.63,23.237983193277312,5.331932773109243,6.810924369747899,2.8949579831932772,0.1134453781512605
용산구,2023,274,25.91,23.174014598540147,5.532846715328467,7.0,2.781021897810219,0.12408759124087591
용산구,2024,231,21.21,22.85207792207792,5.822510822510822,6.7229437229437226,2.961038961038961,0.12121212121212122
용산구,2025,251,19.52,22.45613545816733,5.442231075697211,6.713147410358566,2.7928286852589643,0.11553784860557768
은평구,2019,196,23.98,23.39357142857143,5.683673469387755,6.596938775510204,2.36734693877551,0.1377551020408163
은평구,2020,242,23.14,22.968595041322313,4.946280991735537,6.909090909090909,2.665289256198347,0.12396694214876033
은평구,2021,233,25.32,22.86137339055794,4.253218884120171,6.879828326180258,2.7167381974248928,0.11587982832618025
은평구,2022,239,25.94,23.18364016736402,4.552301255230126,6.803347280334728,2.8410041841004183,0.1297071129707113
은평구,2023,233,30.04,23.2931330472103,4.8068669527897,7.0,2.5450643776824036,0.13733905579399142
은평구,2024,237,29.54,23.5031223628692,5.793248945147679,6.666666666666667,2.852320675105485,0.09282700421940929
은평구,2025,243,36.21,24.01028806584362,5.621399176954733,6.691358024691358,2.7613168724279835,0.16872427983539096
